2026-08-04 09:32:36,114 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,117 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,118 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,119 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,119 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,119 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,121 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,122 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,122 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,122 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,122 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,123 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,123 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,123 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,124 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,124 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,124 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,125 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,125 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,126 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,126 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,126 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,127 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,127 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,128 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,128 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,129 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,129 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,129 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,130 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,130 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,131 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,131 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,131 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,131 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,133 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,133 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,133 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,134 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,134 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,134 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,135 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,135 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,135 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,135 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,136 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,136 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,137 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
2026-08-04 09:32:36,138 | dragoon | WARNING | audio_io.stt not implemented yet (Phase 0/5) — stub returns empty text
